Qty,Description,Unit Cost,Sum Cost,Link
13,CONN HEADER 4POS .100 VERT GOLD,0.94,12.22,https://www.digikey.com/products/en?keywords=0705430003
13,CONN TERM BLOCK 2.54MM 4POS PCB,1.38,17.94,https://www.digikey.com/product-detail/en/on-shore-technology-inc/OSTVN04A150/ED10563-ND/1588864
1,GPIO Stacking Header for Pi A+/B+/Pi 2/Pi 3 - Extra-long 2x20 Pins,2.50,2.50,https://www.adafruit.com/product/2223
1,Brass M2.5 Standoffs for Pi HATs - Black Plated - Pack of 2,0.75,0.75,https://www.adafruit.com/product/2336
1,RES 4.7K OHM 1/8W 5% CF AXIAL,0.10,0.10,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF18JT4K70/CF18JT4K70CT-ND/2022758
